number,opening,eco,family,focus,folder,pdf,pages,main_route
1,Italian Game,C50-C54,Open Games,Both sides,01_Italian_Game,Italian_Game_Course.pdf,10,1. e4 e5  2. Nf3 Nc6  3. Bc4 Bc5  4. c3 Nf6  5. d4 exd4  6. cxd4 Bb4+  7. Bd2 Bxd2+  8. Nbxd2 d5
2,Ruy Lopez,C60-C99,Open Games,Both sides,02_Ruy_Lopez,Ruy_Lopez_Course.pdf,10,1. e4 e5  2. Nf3 Nc6  3. Bb5 a6  4. Ba4 Nf6  5. O-O Be7  6. Re1 b5  7. Bb3 d6  8. c3 O-O  9. h3 Nb8
3,Scotch Game,C44-C45,Open Games,Both sides,03_Scotch_Game,Scotch_Game_Course.pdf,10,1. e4 e5  2. Nf3 Nc6  3. d4 exd4  4. Nxd4 Nf6  5. Nxc6 bxc6  6. e5 Qe7  7. Qe2 Nd5  8. c4 Ba6
4,Four Knights Game,C47-C49,Open Games,Both sides,04_Four_Knights_Game,Four_Knights_Game_Course.pdf,10,1. e4 e5  2. Nf3 Nc6  3. Nc3 Nf6  4. Bb5 Bb4  5. O-O O-O  6. d3 d6  7. Bg5 Bxc3  8. bxc3
5,Vienna Game,C25-C29,Open Games,White focus,05_Vienna_Game,Vienna_Game_Course.pdf,10,1. e4 e5  2. Nc3 Nf6  3. f4 d5  4. fxe5 Nxe4  5. Nf3 Be7  6. d4 O-O  7. Bd3
6,King's Gambit,C30-C39,Open Games,White focus,06_Kings_Gambit,Kings_Gambit_Course.pdf,10,1. e4 e5  2. f4 exf4  3. Nf3 g5  4. h4 g4  5. Ne5 Nf6  6. Bc4 d5  7. exd5 Bd6  8. d4 Nh5
7,Petrov Defense,C42-C43,Open Games,Black focus,07_Petrov_Defense,Petrov_Defense_Course.pdf,10,1. e4 e5  2. Nf3 Nf6  3. Nxe5 d6  4. Nf3 Nxe4  5. d4 d5  6. Bd3 Bd6  7. O-O O-O  8. c4 c6  9. Nc3
8,Philidor Defense,C41,Open Games,Black focus,08_Philidor_Defense,Philidor_Defense_Course.pdf,10,1. e4 e5  2. Nf3 d6  3. d4 Nf6  4. Nc3 Nbd7  5. Bc4 Be7  6. O-O O-O  7. Re1 c6  8. a4
9,Scandinavian Defense,B01,Semi-Open Games,Black focus,09_Scandinavian_Defense,Scandinavian_Defense_Course.pdf,10,1. e4 d5  2. exd5 Qxd5  3. Nc3 Qd8  4. d4 Nf6  5. Nf3 c6  6. Bd3 Bg4  7. O-O e6
10,French Defense,C00-C19,Semi-Open Games,Both sides,10_French_Defense,French_Defense_Course.pdf,10,1. e4 e6  2. d4 d5  3. Nc3 Nf6  4. e5 Nfd7  5. f4 c5  6. Nf3 Nc6  7. Be3 cxd4  8. Nxd4
11,Caro-Kann Defense,B10-B19,Semi-Open Games,Both sides,11_Caro_Kann_Defense,Caro_Kann_Defense_Course.pdf,10,1. e4 c6  2. d4 d5  3. e5 Bf5  4. Nf3 e6  5. Be2 c5  6. O-O Nc6  7. Be3 cxd4  8. Nxd4
12,Open Sicilian,B20-B99,Sicilian Defense,Both sides,12_Open_Sicilian,Open_Sicilian_Course.pdf,10,1. e4 c5  2. Nf3 d6  3. d4 cxd4  4. Nxd4 Nf6  5. Nc3 Nc6  6. Be3 e6  7. Qd2 Be7  8. O-O-O
13,Sicilian Najdorf,B90-B99,Sicilian Defense,Both sides,13_Sicilian_Najdorf,Sicilian_Najdorf_Course.pdf,10,1. e4 c5  2. Nf3 d6  3. d4 cxd4  4. Nxd4 Nf6  5. Nc3 a6  6. Be3 e5  7. Nb3 Be6  8. f3 Be7  9. Qd2
14,Sicilian Dragon,B70-B79,Sicilian Defense,Both sides,14_Sicilian_Dragon,Sicilian_Dragon_Course.pdf,10,1. e4 c5  2. Nf3 d6  3. d4 cxd4  4. Nxd4 Nf6  5. Nc3 g6  6. Be3 Bg7  7. f3 O-O  8. Qd2 Nc6  9. Bc4
15,Classical Sicilian,B56-B69,Sicilian Defense,Both sides,15_Classical_Sicilian,Classical_Sicilian_Course.pdf,10,1. e4 c5  2. Nf3 d6  3. d4 cxd4  4. Nxd4 Nf6  5. Nc3 Nc6  6. Bg5 e6  7. Qd2 Be7  8. O-O-O O-O  9. f4
16,Sicilian Scheveningen,B80-B89,Sicilian Defense,Both sides,16_Sicilian_Scheveningen,Sicilian_Scheveningen_Course.pdf,10,1. e4 c5  2. Nf3 d6  3. d4 cxd4  4. Nxd4 Nf6  5. Nc3 e6  6. Be2 Be7  7. O-O O-O  8. f4 Nc6  9. Be3
17,Accelerated Dragon,B34-B39,Sicilian Defense,Both sides,17_Accelerated_Dragon,Accelerated_Dragon_Course.pdf,10,1. e4 c5  2. Nf3 Nc6  3. d4 cxd4  4. Nxd4 g6  5. Nc3 Bg7  6. Be3 Nf6  7. Bc4 O-O  8. Bb3 a5
18,Sicilian Taimanov,B46-B49,Sicilian Defense,Both sides,18_Sicilian_Taimanov,Sicilian_Taimanov_Course.pdf,10,1. e4 c5  2. Nf3 e6  3. d4 cxd4  4. Nxd4 Nc6  5. Nc3 Qc7  6. Be3 a6  7. Qd2 Nf6  8. O-O-O Bb4
19,Sicilian Kan,B41-B43,Sicilian Defense,Both sides,19_Sicilian_Kan,Sicilian_Kan_Course.pdf,10,1. e4 c5  2. Nf3 e6  3. d4 cxd4  4. Nxd4 a6  5. Bd3 Qc7  6. O-O Nf6  7. Qe2 d6  8. c4 Be7  9. Nc3
20,Sicilian Sveshnikov,B33,Sicilian Defense,Both sides,20_Sicilian_Sveshnikov,Sicilian_Sveshnikov_Course.pdf,10,1. e4 c5  2. Nf3 Nc6  3. d4 cxd4  4. Nxd4 Nf6  5. Nc3 e5  6. Ndb5 d6  7. Bg5 a6  8. Na3 b5
21,Sicilian Alapin,B22,Sicilian Defense,White focus,21_Sicilian_Alapin,Sicilian_Alapin_Course.pdf,10,1. e4 c5  2. c3 Nf6  3. e5 Nd5  4. d4 cxd4  5. Nf3 Nc6  6. cxd4 d6  7. Bc4 dxe5  8. dxe5
22,Closed Sicilian,B23-B26,Sicilian Defense,White focus,22_Closed_Sicilian,Closed_Sicilian_Course.pdf,10,1. e4 c5  2. Nc3 Nc6  3. g3 g6  4. Bg2 Bg7  5. d3 d6  6. Be3 e6  7. Qd2 Nge7  8. f4
23,Grand Prix Attack,B23,Sicilian Defense,White focus,23_Grand_Prix_Attack,Grand_Prix_Attack_Course.pdf,10,1. e4 c5  2. Nc3 Nc6  3. f4 g6  4. Nf3 Bg7  5. Bb5 Nd4  6. O-O e6  7. Bd3 Ne7  8. Nxd4 cxd4
24,Smith-Morra Gambit,B21,Sicilian Defense,White focus,24_Smith_Morra_Gambit,Smith_Morra_Gambit_Course.pdf,10,1. e4 c5  2. d4 cxd4  3. c3 dxc3  4. Nxc3 Nc6  5. Nf3 d6  6. Bc4 Nf6  7. O-O e6  8. Qe2
25,Pirc Defense,B07-B09,Hypermodern Defenses,Both sides,25_Pirc_Defense,Pirc_Defense_Course.pdf,10,1. e4 d6  2. d4 Nf6  3. Nc3 g6  4. Be3 Bg7  5. Qd2 c6  6. f3 b5  7. g4 Nbd7  8. h4
26,Modern Defense,B06,Hypermodern Defenses,Both sides,26_Modern_Defense,Modern_Defense_Course.pdf,10,1. e4 g6  2. d4 Bg7  3. Nc3 d6  4. f4 a6  5. Nf3 b5  6. Bd3 Nd7  7. O-O Bb7  8. e5
27,Alekhine Defense,B02-B05,Hypermodern Defenses,Both sides,27_Alekhine_Defense,Alekhine_Defense_Course.pdf,10,1. e4 Nf6  2. e5 Nd5  3. d4 d6  4. Nf3 dxe5  5. Nxe5 c6  6. Be2 Bf5  7. O-O Nd7
28,Queen's Gambit,D06-D69,Queen's Pawn Openings,Both sides,28_Queens_Gambit,Queens_Gambit_Course.pdf,10,1. d4 d5  2. c4 e6  3. Nc3 Nf6  4. Bg5 Be7  5. e3 O-O  6. Nf3 h6  7. Bh4 b6  8. cxd5 exd5
29,Queen's Gambit Declined,D30-D69,Queen's Pawn Openings,Both sides,29_Queens_Gambit_Declined,Queens_Gambit_Declined_Course.pdf,10,1. d4 d5  2. c4 e6  3. Nc3 Nf6  4. Bg5 Be7  5. e3 O-O  6. Nf3 Nbd7  7. Rc1 c6  8. Bd3
30,Slav Defense,D10-D19,Queen's Pawn Openings,Both sides,30_Slav_Defense,Slav_Defense_Course.pdf,10,1. d4 d5  2. c4 c6  3. Nf3 Nf6  4. Nc3 dxc4  5. a4 Bf5  6. e3 e6  7. Bxc4 Bb4  8. O-O
31,Semi-Slav Defense,D43-D49,Queen's Pawn Openings,Both sides,31_Semi_Slav_Defense,Semi_Slav_Defense_Course.pdf,10,1. d4 d5  2. c4 c6  3. Nf3 Nf6  4. Nc3 e6  5. e3 Nbd7  6. Bd3 dxc4  7. Bxc4 b5  8. Bd3 a6
32,Catalan Opening,E00-E09,Queen's Pawn Openings,Both sides,32_Catalan_Opening,Catalan_Opening_Course.pdf,10,1. d4 Nf6  2. c4 e6  3. g3 d5  4. Bg2 Be7  5. Nf3 O-O  6. O-O dxc4  7. Qc2 a6  8. Qxc4
33,Nimzo-Indian Defense,E20-E59,Indian Defenses,Both sides,33_Nimzo_Indian_Defense,Nimzo_Indian_Defense_Course.pdf,10,1. d4 Nf6  2. c4 e6  3. Nc3 Bb4  4. e3 O-O  5. Bd3 d5  6. Nf3 c5  7. O-O Nc6  8. a3 Bxc3
34,Queen's Indian Defense,E12-E19,Indian Defenses,Both sides,34_Queens_Indian_Defense,Queens_Indian_Defense_Course.pdf,10,1. d4 Nf6  2. c4 e6  3. Nf3 b6  4. g3 Ba6  5. b3 Bb4+  6. Bd2 Be7  7. Bg2 O-O  8. Nc3
35,King's Indian Defense,E60-E99,Indian Defenses,Both sides,35_Kings_Indian_Defense,Kings_Indian_Defense_Course.pdf,10,1. d4 Nf6  2. c4 g6  3. Nc3 Bg7  4. e4 d6  5. Nf3 O-O  6. Be2 e5  7. O-O Nc6  8. d5 Ne7
36,Grunfeld Defense,D70-D99,Indian Defenses,Both sides,36_Grunfeld_Defense,Grunfeld_Defense_Course.pdf,10,1. d4 Nf6  2. c4 g6  3. Nc3 d5  4. cxd5 Nxd5  5. e4 Nxc3  6. bxc3 Bg7  7. Nf3 c5  8. Be3
37,Modern Benoni,A60-A79,Indian Defenses,Both sides,37_Modern_Benoni,Modern_Benoni_Course.pdf,10,1. d4 Nf6  2. c4 c5  3. d5 e6  4. Nc3 exd5  5. cxd5 d6  6. e4 g6  7. f4 Bg7
38,Benko Gambit,A57-A59,Indian Defenses,Black focus,38_Benko_Gambit,Benko_Gambit_Course.pdf,10,1. d4 Nf6  2. c4 c5  3. d5 b5  4. cxb5 a6  5. bxa6 Bxa6  6. Nc3 d6  7. e4 Bxf1  8. Kxf1
39,Dutch Defense,A80-A99,Flank and Indian Systems,Black focus,39_Dutch_Defense,Dutch_Defense_Course.pdf,10,1. d4 f5  2. g3 Nf6  3. Bg2 g6  4. Nf3 Bg7  5. O-O O-O  6. c4 d6  7. Nc3 Nc6
40,English Opening,A10-A39,Flank Openings,White focus,40_English_Opening,English_Opening_Course.pdf,10,1. c4 e5  2. Nc3 Nf6  3. g3 d5  4. cxd5 Nxd5  5. Bg2 Nb6  6. Nf3 Nc6  7. O-O Be7
41,Reti Opening,A04-A09,Flank Openings,White focus,41_Reti_Opening,Reti_Opening_Course.pdf,10,1. Nf3 d5  2. g3 Nf6  3. Bg2 g6  4. O-O Bg7  5. d3 O-O  6. Nbd2 c5  7. e4 Nc6  8. Re1
42,London System,D02,Queen's Pawn Systems,White focus,42_London_System,London_System_Course.pdf,10,1. d4 d5  2. Nf3 Nf6  3. Bf4 e6  4. e3 c5  5. c3 Nc6  6. Nbd2 Bd6  7. Bg3 O-O
43,Colle System,D04-D05,Queen's Pawn Systems,White focus,43_Colle_System,Colle_System_Course.pdf,10,1. d4 d5  2. Nf3 Nf6  3. e3 e6  4. Bd3 c5  5. O-O Nc6  6. Nbd2 Bd6  7. dxc5 Bxc5
44,Trompowsky Attack,A45,Queen's Pawn Systems,White focus,44_Trompowsky_Attack,Trompowsky_Attack_Course.pdf,10,1. d4 Nf6  2. Bg5 Ne4  3. Bf4 d5  4. e3 c5  5. Bd3 Nc6  6. Bxe4 dxe4  7. d5
45,Jobava London System,D00-D02,Queen's Pawn Systems,White focus,45_Jobava_London_System,Jobava_London_System_Course.pdf,10,1. d4 d5  2. Nc3 Nf6  3. Bf4 c5  4. e3 Nc6  5. Nb5 e5  6. dxe5 Ne4  7. Qxd5
46,Stonewall Attack,D00-A45,Queen's Pawn Systems,White focus,46_Stonewall_Attack,Stonewall_Attack_Course.pdf,10,1. d4 d5  2. e3 Nf6  3. Bd3 e6  4. f4 c5  5. c3 Nc6  6. Nf3 Bd6  7. O-O O-O  8. Ne5
47,Torre Attack,A46-A48,Queen's Pawn Systems,White focus,47_Torre_Attack,Torre_Attack_Course.pdf,10,1. d4 Nf6  2. Nf3 e6  3. Bg5 d5  4. e3 Be7  5. Bd3 O-O  6. O-O b6  7. Nbd2 Bb7
48,Blackmar-Diemer Gambit,D00,Queen's Pawn Systems,White focus,48_Blackmar_Diemer_Gambit,Blackmar_Diemer_Gambit_Course.pdf,10,1. d4 d5  2. e4 dxe4  3. Nc3 Nf6  4. f3 exf3  5. Nxf3 e6  6. Bd3 Be7  7. O-O
49,Bird Opening,A02-A03,Flank Openings,White focus,49_Bird_Opening,Bird_Opening_Course.pdf,10,1. f4 d5  2. Nf3 Nf6  3. e3 g6  4. b3 Bg7  5. Bb2 O-O  6. Be2 c5  7. O-O Nc6
50,King's Indian Attack,A05-A08,Flank Openings,White focus,50_Kings_Indian_Attack,Kings_Indian_Attack_Course.pdf,10,1. Nf3 d5  2. g3 Nf6  3. Bg2 e6  4. O-O Be7  5. d3 O-O  6. Nbd2 c5  7. e4 Nc6  8. Re1
